cod_muni;cod_depto;depto_origen;muni_origen;lat;lon
05690;05;ANTIOQUIA;SANTO DOMINGO;6.471221;-75.1643724
05697;05;ANTIOQUIA;EL SANTUARIO;6.1221525;-75.2653958
05736;05;ANTIOQUIA;SEGOVIA;7.081679;-74.7009089
05756;05;ANTIOQUIA;SONSÓN;5.7106659;-75.3103532
05761;05;ANTIOQUIA;SOPETRÁN;6.5009582;-75.7424979
05789;05;ANTIOQUIA;TÁMESIS;5.6653183;-75.7139734
05790;05;ANTIOQUIA;TARAZÁ;7.5804751;-75.3998498
05792;05;ANTIOQUIA;TARSO;5.864064;-75.8217932
05809;05;ANTIOQUIA;TITIRIBÍ;6.0633763;-75.79373
05819;05;ANTIOQUIA;TOLEDO;7.0109536;-75.6921058
05837;05;ANTIOQUIA;TURBO;8.0952972;-76.7289956
05842;05;ANTIOQUIA;URAMITA;6.8993072;-76.1742258
05847;05;ANTIOQUIA;URRAO;6.3168685;-76.1344983
05854;05;ANTIOQUIA;VALDIVIA;7.165519;-75.438614
05856;05;ANTIOQUIA;VALPARAÍSO;5.6153841;-75.6247028
05858;05;ANTIOQUIA;VEGACHÍ;6.8613372;-74.7234644
05861;05;ANTIOQUIA;VENECIA;5.9635386;-75.7339175
05885;05;ANTIOQUIA;YALÍ;6.675426;-74.84226
05887;05;ANTIOQUIA;YARUMAL;6.9625927;-75.4165529
05890;05;ANTIOQUIA;YOLOMBÓ;6.5981185;-75.0108088
05893;05;ANTIOQUIA;YONDÓ;7.0044426;-73.9113922
05895;05;ANTIOQUIA;ZARAGOZA;7.4925154;-74.8682314
08001;08;ATLÁNTICO;BARRANQUILLA;10.9938599;-74.7926118
08078;08;ATLÁNTICO;BARANOA;10.7935694;-74.9152436
08137;08;ATLÁNTICO;CAMPO DE LA CRUZ;10.380131;-74.8810622
08141;08;ATLÁNTICO;CANDELARIA;10.4596531;-74.8803211
08296;08;ATLÁNTICO;GALAPA;10.8994371;-74.8864007
08372;08;ATLÁNTICO;JUAN DE ACOSTA;10.8291974;-75.0347039
08421;08;ATLÁNTICO;LURUACO;10.6104147;-75.1427518
08433;08;ATLÁNTICO;MALAMBO;10.8653387;-74.7746194
08436;08;ATLÁNTICO;MANATÍ;10.4470319;-74.9594166
08520;08;ATLÁNTICO;PALMAR DE VARELA;10.7410093;-74.7534259
08549;08;ATLÁNTICO;PIOJÓ;10.7483504;-75.1081639
08558;08;ATLÁNTICO;POLONUEVO;10.7582877;-74.8627369
08560;08;ATLÁNTICO;PONEDERA;10.6396006;-74.7501675
08573;08;ATLÁNTICO;PUERTO COLOMBIA;10.9891292;-74.955414
08606;08;ATLÁNTICO;REPELÓN;10.4950081;-75.1244823
08634;08;ATLÁNTICO;SABANAGRANDE;10.8040818;-74.774451
08638;08;ATLÁNTICO;SABANALARGA;10.6307159;-74.9209378
08675;08;ATLÁNTICO;SANTA LUCÍA;10.3244398;-74.9610815
08685;08;ATLÁNTICO;SANTO TOMÁS;10.760241;-74.7561781
08758;08;ATLÁNTICO;SOLEDAD;10.9149593;-74.7821054
08770;08;ATLÁNTICO;SUAN;10.3047332;-74.9140346
08832;08;ATLÁNTICO;TUBARÁ;10.8740849;-74.9779428
08849;08;ATLÁNTICO;USIACURÍ;10.7423787;-74.9778586
11001;11;BOGOTÁ, D.C.;BOGOTÁ, D.C.;4.6533817;-74.0836331
13001;13;BOLÍVAR;CARTAGENA DE INDIAS;10.4265566;-75.5441671
13006;13;BOLÍVAR;ACHÍ;8.5689588;-74.5557643
13030;13;BOLÍVAR;ALTOS DEL ROSARIO;8.7920971;-74.1639876
13042;13;BOLÍVAR;ARENAL;8.4593685;-73.9429805
13052;13;BOLÍVAR;ARJONA;10.2534632;-75.3427213
13062;13;BOLÍVAR;ARROYOHONDO;10.2440244;-75.028327
13074;13;BOLÍVAR;BARRANCO DE LOBA;8.944353;-74.1058201
13140;13;BOLÍVAR;CALAMAR;10.2526122;-74.9146691
13160;13;BOLÍVAR;CANTAGALLO;7.3780007;-73.9150265
13188;13;BOLÍVAR;CICUCO;9.2771231;-74.6436562
13212;13;BOLÍVAR;CÓRDOBA;9.5244165;-74.8780482
13222;13;BOLÍVAR;CLEMENCIA;10.5618048;-75.3295539
13244;13;BOLÍVAR;EL CARMEN DE BOLÍVAR;9.7169432;-75.1221847
13248;13;BOLÍVAR;EL GUAMO;10.0312607;-74.9754413
13300;13;BOLÍVAR;HATILLO DE LOBA;8.9566235;-74.0770262
13430;13;BOLÍVAR;MAGANGUÉ;9.2412097;-74.7567413
13433;13;BOLÍVAR;MAHATES;10.234262;-75.186894
13440;13;BOLÍVAR;MARGARITA;9.0574428;-74.2208949
13442;13;BOLÍVAR;MARÍA LA BAJA;9.9840479;-75.3019515
13458;13;BOLÍVAR;MONTECRISTO;7.9305784;-74.4074397
13468;13;BOLÍVAR;MOMPÓS;9.2415432;-74.4251072
13473;13;BOLÍVAR;MORALES;8.2763913;-73.8680272
13549;13;BOLÍVAR;PINILLOS;8.8647577;-74.4050555
13580;13;BOLÍVAR;REGIDOR;8.6650933;-73.8224537
13600;13;BOLÍVAR;RÍO VIEJO;8.5869742;-73.8388939
13620;13;BOLÍVAR;SAN CRISTÓBAL;10.374308;-75.0763405
13647;13;BOLÍVAR;SAN ESTANISLAO;10.3992064;-75.1506023
13650;13;BOLÍVAR;SAN FERNANDO;9.1078595;-74.3798106
13654;13;BOLÍVAR;SAN JACINTO;9.8296174;-75.1218628
13655;13;BOLÍVAR;SAN JACINTO DEL CAUCA;8.2525295;-74.7177669
13657;13;BOLÍVAR;SAN JUAN NEPOMUCENO;9.9512143;-75.0794539
13667;13;BOLÍVAR;SAN MARTÍN DE LOBA;8.9370479;-74.038373
13670;13;BOLÍVAR;SAN PABLO;7.4772487;-73.9234783
13673;13;BOLÍVAR;SANTA CATALINA;10.6523887;-75.2698898
13683;13;BOLÍVAR;SANTA ROSA;6.1559393;-73.838507
13688;13;BOLÍVAR;SANTA ROSA DEL SUR;7.9635222;-74.0506379
13744;13;BOLÍVAR;SIMITÍ;7.9551827;-73.9449234
13760;13;BOLÍVAR;SOPLAVIENTO;10.3894704;-75.1369206
13780;13;BOLÍVAR;TALAIGUA NUEVO;9.3032374;-74.5654949
13836;13;BOLÍVAR;TURBACO;10.3305871;-75.4127345
13838;13;BOLÍVAR;TURBANÁ;10.2724091;-75.4432009
13873;13;BOLÍVAR;VILLANUEVA;10.4444032;-75.2730468
13894;13;BOLÍVAR;ZAMBRANO;9.7414779;-74.8177731
15001;15;BOYACÁ;TUNJA;5.5324313;-73.3616014
15022;15;BOYACÁ;ALMEIDA;4.971164;-73.3788228
15047;15;BOYACÁ;AQUITANIA;5.5175808;-72.88315
15051;15;BOYACÁ;ARCABUCO;5.755207;-73.4513711
15087;15;BOYACÁ;BELÉN;6.0169583;-72.9172466
15090;15;BOYACÁ;BERBEO;5.2261415;-73.1265012
15092;15;BOYACÁ;BETÉITIVA;5.9223691;-72.8590253
15097;15;BOYACÁ;BOAVITA;6.3321613;-72.6095101
15104;15;BOYACÁ;BOYACÁ;5.4428193;-73.3745224
15106;15;BOYACÁ;BRICEÑO;5.6620095;-73.9208214
15109;15;BOYACÁ;BUENAVISTA;5.4875315;-73.9563076
15114;15;BOYACÁ;BUSBANZÁ;5.8507677;-72.8744038
15131;15;BOYACÁ;CALDAS;5.5751455;-73.882994
15135;15;BOYACÁ;CAMPOHERMOSO;4.9983987;-73.1203366
15162;15;BOYACÁ;CERINZA;5.97103;-72.9681475
